1,Karnataka
2,Andhra Pradesh
3,Goa
4,Kerala
5,Telangana
6,Tamil Nadu
7,Maharashtra
8,Delhi
9,Haryana
10,Uttar Pradesh
11,Uttarakhand
12,Punjab
13,Rajasthan
14,Himachal Pradesh
15,Manipur
16,Mizoram
17,Nagaland
18,Assam
19,Odisha
20,Jharkhand
21,Chhattisgarh
22,West Bengal
23,Jammu and Kashmir
24,Ladakh
25,Arunachal Pradesh
26,Tripura
27,Lakshadweep
28,Gujarat
29,Dadra and Nagar Haveli and Daman and Diu
30,Meghalaya
31,Bihar
32,Puducherry
33,Andaman and Nicobar Islands
34,Sikkim
35,Madhya Pradesh
